"resistance_id","resistance","contact_material_1_id","contact_material_2_id","mat_1_ra","mat_2_ra","mat_1_rz","mat_2_rz","mat_1_rsm","mat_2_rsm","mat_1_rmr","mat_2_rmr","ambient_pressure","interface_temperature","contact_pressure","heat_flux","description","ref_id"
45,50.8219,4,4,0.0000004,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-118.139,340000.0,0.0,LMP,4
46,45.4947,4,4,0.0000004,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.936,340000.0,0.0,LMP,4
47,43.0441,4,4,0.0000004,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.0149,340000.0,0.0,LMP,4
48,33.4551,4,4,0.0000004,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.0937,340000.0,0.0,LMP,4
49,20.4566,4,4,0.0000004,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.4541,340000.0,0.0,LMP,4
50,19.0715,4,4,0.0000004,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.9698,340000.0,0.0,LMP,4
51,12.3592,4,4,0.0000004,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.3302,340000.0,0.0,LMP,4
52,12.2527,4,4,0.0000004,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.30315,340000.0,0.0,LMP,4
53,24.7184,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.443,340000.0,0.0,LMP,4
54,19.7108,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-183.173,340000.0,0.0,LMP,4
55,15.7686,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-162.902,340000.0,0.0,LMP,4
56,15.1294,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-143.477,340000.0,0.0,LMP,4
57,11.8265,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.206,340000.0,0.0,LMP,4
58,10.8676,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-102.373,340000.0,0.0,LMP,4
59,10.4414,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.2671,340000.0,0.0,LMP,4
60,9.05632,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.2288,340000.0,0.0,LMP,4
61,8.41705,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.123,340000.0,0.0,LMP,4
62,8.3105,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.2604,340000.0,0.0,LMP,4
63,8.20396,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.4068,340000.0,0.0,LMP,4
64,7.03196,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.2626,340000.0,0.0,LMP,4
65,6.60578,8,4,0.0000003,0.0000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5887,340000.0,0.0,LMP,4
66,132.848,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,409257.0,0.0,稳态法,5
67,113.434,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,913520.0,0.0,稳态法,5
68,103.495,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1330090.0,0.0,稳态法,5
69,96.168,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1783190.0,0.0,稳态法,5
70,91.0133,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2221680.0,0.0,稳态法,5
71,87.3552,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2660170.0,0.0,稳态法,5
72,84.7659,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3084040.0,0.0,稳态法,5
73,82.4506,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3515230.0,0.0,稳态法,5
74,80.7354,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3968330.0,0.0,稳态法,5
75,79.67,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4392200.0,0.0,稳态法,5
76,78.4054,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4845310.0,0.0,稳态法,5
77,77.6213,4,4,0.000001,0.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,5276490.0,0.0,稳态法,5
78,517.475,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,460414.0,0.0,稳态法,5
79,476.622,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,891596.0,0.0,稳态法,5
80,445.368,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1337390.0,0.0,稳态法,5
81,427.834,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1768570.0,0.0,稳态法,5
82,411.628,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2185140.0,0.0,稳态法,5
83,396.605,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2645550.0,0.0,稳态法,5
84,385.354,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3091350.0,0.0,稳态法,5
85,372.157,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3522530.0,0.0,稳态法,5
86,364.664,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3968330.0,0.0,稳态法,5
87,359.834,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4377590.0,0.0,稳态法,5
88,350.548,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4845310.0,0.0,稳态法,5
89,346.082,4,4,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,5261880.0,0.0,稳态法,5
90,1509.3,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,460414.0,0.0,稳态法,5
91,1429.87,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,906212.0,0.0,稳态法,5
92,1293.69,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1344700.0,0.0,稳态法,5
93,1234.88,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1775880.0,0.0,稳态法,5
94,1181.19,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2192450.0,0.0,稳态法,5
95,1181.19,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,2660170.0,0.0,稳态法,5
96,1131.98,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3084040.0,0.0,稳态法,5
97,1108.88,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3529840.0,0.0,稳态法,5
98,1065.39,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,3961020.0,0.0,稳态法,5
99,1044.9,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4399510.0,0.0,稳态法,5
100,1025.19,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,4830690.0,0.0,稳态法,5
101,1025.19,4,4,0.00001,0.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,5283800.0,0.0,稳态法,5
102,101.317,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,442331.0,0.0,稳态法,5
103,67.0199,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,898930.0,0.0,稳态法,5
104,51.7516,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1341260.0,0.0,稳态法,5
105,42.3977,10,10,0.000005,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,1797860.0,0.0,稳态法,5
